epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,116.85,0.42737,0.89763,0.87503,0.93713,0.96667,0.98675,0.90612,0.49876,0.42757,0.91594,0.000186211,0.000186211,0.000186211
58,118.745,0.40626,0.85173,0.86212,0.96088,1,0.995,0.89982,0.49825,0.41045,0.91635,0.000176786,0.000176786,0.000176786
59,120.588,0.3864,0.777,0.85288,0.97349,1,0.995,0.90325,0.49299,0.41616,0.90852,0.000167362,0.000167362,0.000167362
60,122.57,0.43584,0.86541,0.88934,0.94163,1,0.995,0.90276,0.48293,0.42259,0.90802,0.000157937,0.000157937,0.000157937
61,124.436,0.46043,0.86662,0.88237,0.92874,1,0.98675,0.87957,0.49779,0.42421,0.90949,0.000148512,0.000148512,0.000148512
62,126.228,0.43669,0.84848,0.88034,0.93189,1,0.9785,0.86217,0.52124,0.41886,0.92041,0.000139087,0.000139087,0.000139087
63,128.087,0.42824,0.8483,0.87066,0.94429,1,0.9785,0.86388,0.53594,0.41566,0.92452,0.000129662,0.000129662,0.000129662
64,130.227,0.39153,0.81635,0.87689,0.95038,1,0.995,0.8841,0.52721,0.4142,0.91265,0.000120238,0.000120238,0.000120238
65,132.519,0.4021,0.83792,0.85561,0.95109,0.99707,0.995,0.88437,0.5211,0.41421,0.90699,0.000110813,0.000110813,0.000110813
66,182.837,0.33507,0.90044,0.83247,0.95289,1,0.98675,0.8793,0.52278,0.41167,0.90532,0.000101388,0.000101388,0.000101388
67,184.555,0.34187,0.9032,0.79848,0.94683,1,0.9785,0.86946,0.52278,0.40903,0.90551,9.19632e-05,9.19632e-05,9.19632e-05
68,186.386,0.33605,0.90194,0.83091,0.93681,1,0.9785,0.87853,0.50915,0.41297,0.90472,8.25384e-05,8.25384e-05,8.25384e-05
69,188.165,0.32789,0.92011,0.81869,0.93274,1,0.9785,0.88662,0.50154,0.40078,0.90401,7.31136e-05,7.31136e-05,7.31136e-05
70,189.909,0.3272,0.91345,0.80392,0.9307,1,0.9785,0.89225,0.49817,0.38738,0.90507,6.36888e-05,6.36888e-05,6.36888e-05
71,192.125,0.34193,0.89152,0.82089,0.94187,1,0.98675,0.89452,0.49869,0.38543,0.90674,5.4264e-05,5.4264e-05,5.4264e-05
72,194.123,0.31684,0.87692,0.80341,0.9394,0.97609,0.98675,0.90241,0.49926,0.3838,0.90675,4.48392e-05,4.48392e-05,4.48392e-05
73,195.941,0.31936,0.87702,0.80104,0.94591,0.96667,0.98675,0.90176,0.50046,0.38192,0.90653,3.54144e-05,3.54144e-05,3.54144e-05
74,197.683,0.33762,0.8486,0.81059,0.94666,0.96667,0.98675,0.89926,0.50546,0.38074,0.90649,2.59896e-05,2.59896e-05,2.59896e-05
75,199.605,0.33699,0.88448,0.81568,0.97108,0.99328,0.995,0.89311,0.50741,0.38281,0.90649,1.65648e-05,1.65648e-05,1.65648e-05
